question_id,answerable,expected_citation,top_source_ids,expected_count,found_at_1,missing_at_1,recall_at_1,any_gold_at_1,all_gold_at_1,found_at_3,missing_at_3,recall_at_3,any_gold_at_3,all_gold_at_3,found_at_5,missing_at_5,recall_at_5,any_gold_at_5,all_gold_at_5,found_at_8,missing_at_8,recall_at_8,any_gold_at_8,all_gold_at_8
HQ0001,yes,S000004 S000017,S000004 S000005 S000006 S000017 S000026 S000002 S000001 S000014,2,S000004,S000017,0.500,yes,no,S000004,S000017,0.500,yes,no,S000004 S000017,,1.000,yes,yes,S000004 S000017,,1.000,yes,yes
HQ0002,yes,S000041 S000042 S000054,S000054 S000051 S000053 S000045 S000052 S000050 S000049 S000039,3,S000054,S000041 S000042,0.333,yes,no,S000054,S000041 S000042,0.333,yes,no,S000054,S000041 S000042,0.333,yes,no,S000054,S000041 S000042,0.333,yes,no
HQ0003,yes,S000084 S000085 S000086 S000114 S000115,S000115 S000114 S000086 S000084 S000116 S000077 S000118 S000087,5,S000115,S000084 S000085 S000086 S000114,0.200,yes,no,S000086 S000114 S000115,S000084 S000085,0.600,yes,no,S000084 S000086 S000114 S000115,S000085,0.800,yes,no,S000084 S000086 S000114 S000115,S000085,0.800,yes,no
HQ0004,yes,S000140 S000141,S000141 S000140 S000134 S000139 S000142 S000137 S000145 S000132,2,S000141,S000140,0.500,yes,no,S000140 S000141,,1.000,yes,yes,S000140 S000141,,1.000,yes,yes,S000140 S000141,,1.000,yes,yes
HQ0005,yes,S000156 S000196,S000196 S000197 S000198 S000193 S000194 S000148 S000195 S000192,2,S000196,S000156,0.500,yes,no,S000196,S000156,0.500,yes,no,S000196,S000156,0.500,yes,no,S000196,S000156,0.500,yes,no
HQ0006,yes,S000210 S000217,S000210 S000211 S000238 S000212 S000213 S000217 S000235 S000232,2,S000210,S000217,0.500,yes,no,S000210,S000217,0.500,yes,no,S000210,S000217,0.500,yes,no,S000210 S000217,,1.000,yes,yes
HQ0007,yes,S000264 S000278,S000264 S000561 S000558 S000559 S000560 S000263 S000268 S000279,2,S000264,S000278,0.500,yes,no,S000264,S000278,0.500,yes,no,S000264,S000278,0.500,yes,no,S000264,S000278,0.500,yes,no
HQ0008,yes,S000350 S000360,S000360 S000350 S000359 S000364 S000362 S000298 S000369 S000358,2,S000360,S000350,0.500,yes,no,S000350 S000360,,1.000,yes,yes,S000350 S000360,,1.000,yes,yes,S000350 S000360,,1.000,yes,yes
HQ0009,yes,S000371 S000373 S000381,S000381 S000371 S000373 S000372 S000382 S000374 S000383 S000386,3,S000381,S000371 S000373,0.333,yes,no,S000371 S000373 S000381,,1.000,yes,yes,S000371 S000373 S000381,,1.000,yes,yes,S000371 S000373 S000381,,1.000,yes,yes
HQ0010,yes,S000430 S000440,S000440 S000430 S000431 S000451 S000429 S000441 S000443 S000622,2,S000440,S000430,0.500,yes,no,S000430 S000440,,1.000,yes,yes,S000430 S000440,,1.000,yes,yes,S000430 S000440,,1.000,yes,yes
HQ0011,yes,S000481 S000498 S000499,S000481 S000498 S000499 S000497 S000500 S000463 S000501 S000460,3,S000481,S000498 S000499,0.333,yes,no,S000481 S000498 S000499,,1.000,yes,yes,S000481 S000498 S000499,,1.000,yes,yes,S000481 S000498 S000499,,1.000,yes,yes
HQ0012,yes,S000520 S000521 S000539,S000540 S000521 S000523 S000528 S000539 S000524 S000515 S000535,3,,S000520 S000521 S000539,0.000,no,no,S000521,S000520 S000539,0.333,yes,no,S000521 S000539,S000520,0.667,yes,no,S000521 S000539,S000520,0.667,yes,no
HQ0013,yes,S000580 S000581 S000582,S000546 S000549 S000547 S000551 S000560 S000582 S000564 S000559,3,,S000580 S000581 S000582,0.000,no,no,,S000580 S000581 S000582,0.000,no,no,,S000580 S000581 S000582,0.000,no,no,S000582,S000580 S000581,0.333,yes,no
HQ0014,yes,S000601 S000604,S000604 S000605 S000601 S000599 S000602 S000598 S000600 S000603,2,S000604,S000601,0.500,yes,no,S000601 S000604,,1.000,yes,yes,S000601 S000604,,1.000,yes,yes,S000601 S000604,,1.000,yes,yes
HQ0015,yes,S000665 S000666 S000675,S000666 S000660 S000665 S000668 S000674 S000672 S000670 S000669,3,S000666,S000665 S000675,0.333,yes,no,S000665 S000666,S000675,0.667,yes,no,S000665 S000666,S000675,0.667,yes,no,S000665 S000666,S000675,0.667,yes,no
HQ0016,yes,S000688 S000740,S000688 S000689 S000690 S000695 S000694 S000705 S000686 S000724,2,S000688,S000740,0.500,yes,no,S000688,S000740,0.500,yes,no,S000688,S000740,0.500,yes,no,S000688,S000740,0.500,yes,no
HQ0017,yes,S000757 S000758 S000759,S000759 S000758 S000761 S000763 S000760 S000778 S000755 S000752,3,S000759,S000757 S000758,0.333,yes,no,S000758 S000759,S000757,0.667,yes,no,S000758 S000759,S000757,0.667,yes,no,S000758 S000759,S000757,0.667,yes,no
HQ0018,yes,S000797 S000801,S000801 S000797 S000806 S000791 S000803 S000812 S000790 S000809,2,S000801,S000797,0.500,yes,no,S000797 S000801,,1.000,yes,yes,S000797 S000801,,1.000,yes,yes,S000797 S000801,,1.000,yes,yes
HQ0019,yes,S000828 S000858,S000858 S000856 S000834 S000843 S000841 S000857 S000835 S000833,2,S000858,S000828,0.500,yes,no,S000858,S000828,0.500,yes,no,S000858,S000828,0.500,yes,no,S000858,S000828,0.500,yes,no
HQ0020,yes,S000868 S000882,S000882 S000868 S000884 S000890 S000881 S000891 S000897 S000892,2,S000882,S000868,0.500,yes,no,S000868 S000882,,1.000,yes,yes,S000868 S000882,,1.000,yes,yes,S000868 S000882,,1.000,yes,yes
HQ0021,yes,S000915 S000931 S000932,S000932 S000930 S000931 S000915 S000917 S000936 S000923 S000903,3,S000932,S000915 S000931,0.333,yes,no,S000931 S000932,S000915,0.667,yes,no,S000915 S000931 S000932,,1.000,yes,yes,S000915 S000931 S000932,,1.000,yes,yes
HQ0022,yes,S000964 S000979,S000978 S000964 S000979 S000953 S000974 S000943 S000976 S000972,2,,S000964 S000979,0.000,no,no,S000964 S000979,,1.000,yes,yes,S000964 S000979,,1.000,yes,yes,S000964 S000979,,1.000,yes,yes
HQ0023,yes,S000993 S000994 S001009 S001010,S000995 S000997 S000994 S000993 S000999 S000996 S000998 S001010,4,,S000993 S000994 S001009 S001010,0.000,no,no,S000994,S000993 S001009 S001010,0.250,yes,no,S000993 S000994,S001009 S001010,0.500,yes,no,S000993 S000994 S001010,S001009,0.750,yes,no
HQ0024,yes,S001039 S001058,S001038 S001039 S001060 S001047 S001043 S001058 S001045 S001048,2,,S001039 S001058,0.000,no,no,S001039,S001058,0.500,yes,no,S001039,S001058,0.500,yes,no,S001039 S001058,,1.000,yes,yes
HQ0025,yes,S001073 S001093 S001094,S001073 S001094 S001093 S001074 S001071 S001072 S001089 S001086,3,S001073,S001093 S001094,0.333,yes,no,S001073 S001093 S001094,,1.000,yes,yes,S001073 S001093 S001094,,1.000,yes,yes,S001073 S001093 S001094,,1.000,yes,yes
HQ0026,yes,S001131 S001136,S001131 S001132 S001129 S001103 S001133 S001124 S001134 S001135,2,S001131,S001136,0.500,yes,no,S001131,S001136,0.500,yes,no,S001131,S001136,0.500,yes,no,S001131,S001136,0.500,yes,no
HQ0027,yes,S001153 S001166,S001166 S001139 S001159 S001187 S001170 S001145 S001164 S001169,2,S001166,S001153,0.500,yes,no,S001166,S001153,0.500,yes,no,S001166,S001153,0.500,yes,no,S001166,S001153,0.500,yes,no
HQ0028,yes,S001199 S001204,S001204 S001203 S001207 S001199 S001202 S001200 S001205 S001208,2,S001204,S001199,0.500,yes,no,S001204,S001199,0.500,yes,no,S001199 S001204,,1.000,yes,yes,S001199 S001204,,1.000,yes,yes
HQ0029,yes,S001224 S001225 S001230,S001230 S001223 S001231 S001225 S001226 S001234 S001224 S001222,3,S001230,S001224 S001225,0.333,yes,no,S001230,S001224 S001225,0.333,yes,no,S001225 S001230,S001224,0.667,yes,no,S001224 S001225 S001230,,1.000,yes,yes
HQ0030,yes,S001245 S001273,S001245 S001246 S001254 S001275 S001274 S001273 S001261 S001258,2,S001245,S001273,0.500,yes,no,S001245,S001273,0.500,yes,no,S001245,S001273,0.500,yes,no,S001245 S001273,,1.000,yes,yes
HQ0031,yes,S001295 S001315,S001315 S001318 S001319 S001282 S001316 S001298 S001296 S001295,2,S001315,S001295,0.500,yes,no,S001315,S001295,0.500,yes,no,S001315,S001295,0.500,yes,no,S001295 S001315,,1.000,yes,yes
HQ0032,yes,S001324 S001335,S001335 S001324 S001337 S001338 S001321 S001336 S001328 S001355,2,S001335,S001324,0.500,yes,no,S001324 S001335,,1.000,yes,yes,S001324 S001335,,1.000,yes,yes,S001324 S001335,,1.000,yes,yes
HQ0033,yes,S001366 S001386,S001386 S001385 S001361 S001377 S001384 S001387 S001369 S001378,2,S001386,S001366,0.500,yes,no,S001386,S001366,0.500,yes,no,S001386,S001366,0.500,yes,no,S001386,S001366,0.500,yes,no
HQ0034,yes,S001428 S001431,S001431 S001432 S001428 S001396 S001391 S001395 S001430 S001390,2,S001431,S001428,0.500,yes,no,S001428 S001431,,1.000,yes,yes,S001428 S001431,,1.000,yes,yes,S001428 S001431,,1.000,yes,yes
HQ0035,yes,S001439 S001440 S001469 S001470,S001439 S001473 S001469 S001472 S001440 S001476 S001471 S001446,4,S001439,S001440 S001469 S001470,0.250,yes,no,S001439 S001469,S001440 S001470,0.500,yes,no,S001439 S001440 S001469,S001470,0.750,yes,no,S001439 S001440 S001469,S001470,0.750,yes,no
HQ0036,yes,S001484 S001512,S001529 S001519 S001511 S001484 S001526 S001528 S001516 S001527,2,,S001484 S001512,0.000,no,no,,S001484 S001512,0.000,no,no,S001484,S001512,0.500,yes,no,S001484,S001512,0.500,yes,no
HQ0037,yes,S001549 S001562,S001563 S001564 S001562 S001549 S001543 S001551 S001544 S001559,2,,S001549 S001562,0.000,no,no,S001562,S001549,0.500,yes,no,S001549 S001562,,1.000,yes,yes,S001549 S001562,,1.000,yes,yes
HQ0038,yes,S001565 S001591,S001565 S001566 S001577 S001573 S001594 S001569 S001571 S001586,2,S001565,S001591,0.500,yes,no,S001565,S001591,0.500,yes,no,S001565,S001591,0.500,yes,no,S001565,S001591,0.500,yes,no
HQ0039,yes,S001606 S001607,S001607 S001608 S001609 S001630 S001629 S001622 S001606 S001632,2,S001607,S001606,0.500,yes,no,S001607,S001606,0.500,yes,no,S001607,S001606,0.500,yes,no,S001606 S001607,,1.000,yes,yes
HQ0040,yes,S001665 S001671,S001665 S001667 S001647 S001641 S001644 S001666 S001661 S001548,2,S001665,S001671,0.500,yes,no,S001665,S001671,0.500,yes,no,S001665,S001671,0.500,yes,no,S001665,S001671,0.500,yes,no
HQ0041,yes,S001681 S001710 S001713,S001713 S001712 S001687 S001677 S001710 S001701 S001721 S001683,3,S001713,S001681 S001710,0.333,yes,no,S001713,S001681 S001710,0.333,yes,no,S001710 S001713,S001681,0.667,yes,no,S001710 S001713,S001681,0.667,yes,no
HQ0042,yes,S001738 S001746,S001738 S001735 S001739 S001726 S001740 S001725 S001737 S001736,2,S001738,S001746,0.500,yes,no,S001738,S001746,0.500,yes,no,S001738,S001746,0.500,yes,no,S001738,S001746,0.500,yes,no
HQ0043,yes,S001775 S001824,S001824 S001823 S001767 S001822 S001769 S001808 S001789 S001788,2,S001824,S001775,0.500,yes,no,S001824,S001775,0.500,yes,no,S001824,S001775,0.500,yes,no,S001824,S001775,0.500,yes,no
HQ0044,yes,S001857 S001869,S001869 S001857 S001834 S001867 S001877 S001876 S001828 S001872,2,S001869,S001857,0.500,yes,no,S001857 S001869,,1.000,yes,yes,S001857 S001869,,1.000,yes,yes,S001857 S001869,,1.000,yes,yes
HQ0045,yes,S001885 S001940 S001942,S001942 S001940 S001919 S001943 S001941 S001918 S000827 S000843,3,S001942,S001885 S001940,0.333,yes,no,S001940 S001942,S001885,0.667,yes,no,S001940 S001942,S001885,0.667,yes,no,S001940 S001942,S001885,0.667,yes,no
HQ0046,yes,S001966 S001967 S001968 S001969,S001969 S001956 S001958 S001953 S001954 S001970 S001974 S001968,4,S001969,S001966 S001967 S001968,0.250,yes,no,S001969,S001966 S001967 S001968,0.250,yes,no,S001969,S001966 S001967 S001968,0.250,yes,no,S001968 S001969,S001966 S001967,0.500,yes,no
HQ0047,yes,S001992 S001993 S002030,S001992 S001994 S002018 S002020 S002023 S002019 S002017 S001993,3,S001992,S001993 S002030,0.333,yes,no,S001992,S001993 S002030,0.333,yes,no,S001992,S001993 S002030,0.333,yes,no,S001992 S001993,S002030,0.667,yes,no
HQ0048,yes,S002066 S002073,S001922 S001923 S002075 S002066 S002073 S002058 S002085 S002050,2,,S002066 S002073,0.000,no,no,,S002066 S002073,0.000,no,no,S002066 S002073,,1.000,yes,yes,S002066 S002073,,1.000,yes,yes
HQ0049,yes,S002101 S002133,S002133 S002134 S002135 S002120 S002101 S002103 S002139 S002095,2,S002133,S002101,0.500,yes,no,S002133,S002101,0.500,yes,no,S002101 S002133,,1.000,yes,yes,S002101 S002133,,1.000,yes,yes
HQ0050,yes,S002149 S002156,S002149 S002153 S002157 S002159 S002155 S002160 S002167 S002156,2,S002149,S002156,0.500,yes,no,S002149,S002156,0.500,yes,no,S002149,S002156,0.500,yes,no,S002149 S002156,,1.000,yes,yes
